ASIN,Parent ASIN,Title,Relationship
B0C6B6J1JW,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Southern University - White, 18oz) 18oz Southern University - White",CHILD
B09DQ9NND9,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Kentucky Wildcats - Royal, 18oz) 18oz Kentucky Wildcats - Royal",CHILD
B09DQBFDH6,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Marquette Golden Eagles - Navy, 18oz) 18oz Marquette Golden Eagles - Navy",CHILD
B09DQ8NFHL,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Maryland Terrapins - Red, 18oz) 18oz Maryland Terrapins - Red",CHILD
B09DQ9F75X,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (LSU Tigers - Purple, 18oz) 18oz LSU Tigers - Purple",CHILD
B0C6B9F86D,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Wake Forest Demon Deacons - Black, 18oz) 18oz Wake Forest Demon Deacons - Black",CHILD
B09DQ8CZBN,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Columbia Lions - Navy, 18oz) 18oz Columbia Lions - Navy",CHILD
B0C6B7C8NY,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (San Diego State Aztecs - Black, 18oz) 18oz San Diego State Aztecs - Black",CHILD
B09DQ6VFJD,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Georgia Tech Yellowjackets - Navy, 18oz) 18oz Georgia Tech Yellowjackets - Navy",CHILD
B09DQ8B8S7,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Kansas Jayhawks - Royal, 18oz) 18oz Kansas Jayhawks - Royal",CHILD
B09DQ9KFMY,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Gonzaga Bulldogs - Navy, 18oz) 18oz Gonzaga Bulldogs - Navy",CHILD
B0CBQHFZPH,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (TCU Horned Frogs - White, 18oz) 18oz TCU Horned Frogs - White",CHILD
B09DQ6VFJB,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Washington Huskies - Purple, 18oz) 18oz Washington Huskies - Purple",CHILD
B0C6B6NS7S,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (UCONN Huskies - Navy, 18oz) 18oz UCONN Huskies - Navy",CHILD
B0C6B5MN5M,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (San Diego State Aztecs - Red, 18oz) 18oz San Diego State Aztecs - Red",CHILD
